id,city,country,year,gross_rental_yield_centre,gross_rental_yield_out,price_to_rent_centre,price_to_rent_out,affordability_index,qol_index,ppi_index,health_care_index,traffic_commute_index,pollution_index,climate_index,crime_index,safety_index,cost_of_living_index,rent_index,groceries_index,restaurant_price_index,local_ppi_index,y
0,London,United Kingdom,2017,2.074,2.526,6.417,5.705,0.866,4.322,3.391,7.141,7.316,3.037,4.783,4.13,4.826,3.781,5.32,2.766,3.436,3.072,6.101
1,Lviv,Ukraine,2017,4.053,4.808,3.281,2.994,0.261,3.322,0.992,5.603,6.908,3.017,2.759,3.656,5.302,1.125,0.614,0.93,0.588,0.899,8.948
2,Kiev (Kyiv),Ukraine,2017,4.601,5.125,2.894,2.807,0.294,3.123,1.217,5.505,5.723,3.92,3.1,4.477,4.479,1.284,0.927,0.97,0.858,1.103,8.766
3,Rome,Italy,2017,1.911,2.843,6.953,5.062,1.078,4.076,2.947,6.016,7.217,3.632,5.69,4.962,3.993,3.43,2.831,2.999,2.876,2.67,0.625
4,Kharkiv,Ukraine,2017,6.418,5.474,2.074,2.628,0.343,3.893,1.307,5.133,5.681,4.129,4.734,4.693,4.262,1.206,0.806,0.866,0.756,0.871,12.493
5,Belgrade,Serbia,2017,2.708,2.859,4.921,5.032,1.013,4.565,1.64,5.73,5.165,3.191,5.316,3.321,5.638,1.68,0.762,1.227,1.263,1.486,7.086
6,Moscow,Russia,2017,3.453,3.939,3.854,3.653,0.555,3.148,2.335,5.912,8.401,3.428,1.803,4.054,4.903,2.214,2.336,1.718,2.036,2.116,6.318
7,Odessa (Odesa),Ukraine,2017,4.627,4.175,2.874,3.451,0.392,4.013,1.417,5.552,5.38,3.271,4.406,4.545,4.976,1.314,0.688,0.894,1.018,1.111,10.053
8,Minsk,Belarus,2017,4.541,3.898,2.933,3.692,0.278,4.276,1.483,6.071,4.321,2.304,1.268,1.91,7.052,1.608,0.956,1.313,1.468,1.344,14.535
9,Split,Croatia,2017,2.031,2.266,6.552,6.357,1.111,5.676,2.408,6.819,3.738,1.839,5.445,2.907,6.053,2.348,0.873,1.992,1.798,1.967,8.16
10,Milan,Italy,2017,2.236,3.541,5.955,4.069,1.372,4.606,3.128,7.316,5.814,3.469,4.769,4.222,4.735,3.557,2.88,3.165,3.138,2.834,7.702
11,Tirana,Albania,2017,3.993,4.028,3.332,3.571,0.931,3.234,1.234,5.016,6.171,4.801,5.459,3.933,5.025,1.55,0.708,1.24,0.983,1.224,6.738
